"DONATE TO FARESHARE HERE - https://fareshare.org.uk/donate/","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLEASE DOWNLOAD THE SPREADSHEET TO FILTER / SORT BY YOUR AREA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IF YOU ARE A BUSINESS WHO WANTS TO ADD AN ENTRY, PLEASE  FILL IN THIS FORM https://forms.gle/5QZ3mw4HJy2GJqeW7 ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLICK HERE TO VIEW A MAP https://odileeds.github.io/FSM-support/map (created by @astronomyblog) ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","Town","City/Region","Postcode","Specific schools?","How to claim","Link to post","More details","","","","","","","","","","","","","","","","","","",""
"EJB Buffets and Banquets","Sutton Coldfield","Birmingham","B36 0NJ","No","Message on Facebook","https://www.facebook.com/ejbbuffetsbanquets/posts/3385894924790858","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"The Front Room","Ladywood","Birmingham","B16 0AE","No","Visit The Front Room 
CIVIC SQUARE
The Barge
South Loop Park
Rotton Park Street
Ladywood
Birmingham
West Midlands 
B16 0AE","","Lunch bags - Sandwiches, fruit, cakes, hot chocolate and coffee and cake for parents for people local to B16","","","","","","","","","","","","","","","","","","",""
"Baker's tea room","Egerton","Bolton","BL7 9SN","No","Message on Twitter","https://twitter.com/bakerstearoom/status/1319392152422678529","Free grab bags","","","","","","","","","","","","","","","","","","",""
"The Loft Cafe Bar","Bingley","Bradford","BD16 2HT","No","Message on Facebook","https://www.facebook.com/permalink.php?story_fbid=4047251718624418&id=219530491396579","Healthy packed lunch","","","","","","","","","","","","","","","","","","",""
"Bradford Community Kitchen","Bradford","Bradford","BD1 2HS","No","Call 07888693196","https://www.facebook.com/BradfordCK/posts/2766966703544328","Rice, chicken, pasta, fruit, crisps, drinks delivery","","","","","","","","","","","","","","","","","","",""
"Athena B ","Portslade","Brighton","BN41 1GB","No","Visit restaurant","https://www.facebook.com/groups/2373520586236887/permalink/2721152264807049","* 1 meal per child per day 
* up to 3 meals per household 
* Monday - Thursday of next week only","","","","","","","","","","","","","","","","","","",""
"The Crown Inn","Keynsham","Bristol","BS31 2WA","No","","https://www.facebook.com/thecrownkeynsham/posts/1794993347305427","Sandwich and microwave meal","","","","","","","","","","","","","","","","","","",""
"Hugo's Greengrocer Deli","Bristol","Bristol","BS3 1ES","No","Visit restaurant","https://www.facebook.com/hugosgreengrocer/posts/3401331516588323","lunch box style bags with some fruit and nice bits of veg ","","","","","","","","","","","","","","","","","","",""
"The Gallimaufry","Bishopston","Bristol","BS7 8AE","No","Message on Facebook","https://www.facebook.com/TheGallimaufryBristol/posts/3859540980745919","Delivery or collection of lunches","","","","","","","","","","","","","","","","","","",""
"Bucks Students' Union","High Wycombe","Buckinghamshire","HP11 2JZ","No","Visit restaurant","https://www.facebook.com/bucksstudentsunion/photos/a.271497906320240/2050924205044259","Free hot meal","","","","","","","","","","","","","","","","","","",""
"The Old Millwrights Arms","Aylesbury","Buckinghamshire","HP21 7SN","No","","https://www.facebook.com/oldmillwrightsarmsaylesbury/posts/4010898138925291","free child's pizzas at lunchtime (12-3) during half term from Monday to Friday.","","","","","","","","","","","","","","","","","","",""
"Lime Tree","Prestwich","Bury","M25 1JF","No","Message on Facebook","https://www.facebook.com/Prestwichlocal/posts/10158621082349246","free meals for children for Half Term next week from 5pm till 8pm, Monday to Friday","","","","","","","","","","","","","","","","","","",""
"The Coffee Sack","Prestwich","Bury","M25 0PD","No","Call 0161 773 2000","https://www.facebook.com/thecoffeesack/posts/2594401094132447","we'll box up a kids meal with a sandwich, a drink, a jelly, a pack of pom bears and some veg sticks and hummus and you can come and collect it. ","","","","","","","","","","","","","","","","","","",""
"Cambridge Tuitions","St Ives","Cambridgeshire","","No","Email cambridgetuitionshelps@gmail.com","https://www.facebook.com/CambridgeTuitions.co.uk/posts/3650433841683335","Free healthy lunches","","","","","","","","","","","","","","","","","","",""
"Helping Haltons Kids","Halton","Cheshire","","No","Message on Facebook","https://www.facebook.com/helpinghaltonskids/posts/109103637651699","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"Crewe Alexandra FC","Crewe","Cheshire","CW2 6EB","No","Visit clubshop","https://www.crewealex.net/news/2020/october/crewe-alexandra-to-provide-100-free-packed-lunches-a-day-during-october-half-term/","from 10:30 AM throughout the October half term which runs from Monday 26th - Friday 30th.
The 100 free lunches will distributed on a first-come first-serve basis.","","","","","","","","","","","","","","","","","","",""
"Palm Cocktail Bar & Eatery","Chester","Cheshire","CH1 2LE","No","Visit restaurant","https://www.facebook.com/PalmCocktailBarandEatery/posts/750676328821722","Choose From:
Mac & Cheese with veggies
Jam Sandwiches & crisps
Sausage & Mash
Free fruit & soft drink included","","","","","","","","","","","","","","","","","","",""
"Castle Beach Cafe","Falmouth","Cornwall","TR11 4NZ","No","Visit restaurant","https://www.facebook.com/castlebeachcafe/posts/10164432841885013","Free grab bags","","","","","","","","","","","","","","","","","","",""
"Count House Cafe","Penzance","Cornwall","TR19 7EW","Pendeen School","Email counthousecafe@hotmail.co.uk","https://www.facebook.com/permalink.php?story_fbid=3638992096124492&id=465313273492406","","","","","","","","","","","","","","","","","","","",""
"The ReFill Store","Truro","Cornwall","TR1 2QD","No","Email refillstore@hotmail.com","https://www.facebook.com/refillstoreLtd/posts/2507714506188319","Free food pack","","","","","","","","","","","","","","","","","","",""
"Rosie's Kitchen","Bude","Cornwall","EX23 8NE","No","Email events@rosieskitchen.co.uk","https://www.facebook.com/Rosiesbude/posts/3323010221145230","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"ReFill Shop Bude","Bude","Cornwall","EX23 8BR","No","email shopping@refillshop.co.uk or message on Facebook","https://www.facebook.com/refillshopbude/posts/719799431945337","free food box. With your basics covered – cereal, pasta, rice, oil,  dried fruit, and cooking ingredients ","","","","","","","","","","","","","","","","","","",""
"Kimble's","Billingham","County Durham","TS23 2HZ","No","Message on Facebook","https://www.facebook.com/permalink.php?story_fbid=1083172958766096&id=146436789106389","Options will be:
Sausage, Mash, Peas & Gravy or 
Chicken Nuggets, Chips & Beans ","","","","","","","","","","","","","","","","","","",""
"Page's Bakery Tow Law","Bishop Auckland","County Durham","DL13 4DP","No","ring us on 07584411195 (kat)or 07869611543(phil)","https://www.facebook.com/Pagebakerypnk/posts/4143453429096230","FREE KIDS LUNCHES🔸for anyone that needs them🥰 collect between 12-2pm","","","","","","","","","","","","","","","","","","",""
"The Poachers","Durham","County Durham","DH6 5LQ","No","Visit restaurant","https://www.facebook.com/ThePoachersAtMetalBridge/posts/10160193438738154","30 meals per day 11am - 12pm throughout the October half term","","","","","","","","","","","","","","","","","","",""
"Babul's of Barnard Castle","Teesdale","County Durham","DL12 8NF","No","Visit restaurant","https://www.facebook.com/babulsofficial/posts/3547793688645469","pledging 1500 healthy meals for all children within our community.
The meal will consist of grilled chicken and some fresh vegetables. They can be refrigerated for up to 3 days.","","","","","","","","","","","","","","","","","","",""
"Barrow Community Kitchen","Barrow-in-Furness","Cumbria","LA13 0DR","No","Message on Facebook","https://twitter.com/MarcusRashford/status/1319401184914886657?s=20","","","","","","","","","","","","","","","","","","","",""
"Priory Plaice","Barrow-in-Furness","Cumbria","LA12 9HU","No","Visit restaurant","https://www.facebook.com/Prioryplaice/posts/810623389792437","free **children’s sausage and chips","","","","","","","","","","","","","","","","","","",""
"Berry's tea room","Brampton","Cumbria","CA8 1RP","No","Message on Facebook","https://www.facebook.com/permalink.php?story_fbid=2708649499388993&id=1686329141621039","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"The Funhouse","Whitehaven","Cumbria","CA28 6SJ","No","Message on Facebook","https://www.facebook.com/funhousesoftplay/posts/1841033552710521","childs lunchbox free of charge","","","","","","","","","","","","","","","","","","",""
"Toll Bar Fish & Chips","Stoney Middleton","Derbyshire","S32 4TF","No","Visit restaurant","https://www.facebook.com/tollbarfishandchips/posts/2989602327933864","providing chips/sausage/fish cake/peas/beans etc. for free.","","","","","","","","","","","","","","","","","","",""
"The Derwentwater Arms","Calver","Derbyshire","S32 3XQ","No","Message on Facebook","https://www.facebook.com/dwacalver/posts/4054745827876101","","","","","","","","","","","","","","","","","","","",""
"The Tradesmans Entrance Cafe","Buxton","Derbyshire","SK17 6EF","No","visit restaurant","https://www.facebook.com/tradesmans/posts/3579484818770232","a pack-up or a warm homemade cup of soup and roll, and a drink FREE OF CHARGE","","","","","","","","","","","","","","","","","","",""
"The Chippy of Chinley","Chinley","Derbyshire","SK23 6BD","No","visit restaurant","https://www.facebook.com/permalink.php?story_fbid=384749796213168&id=102518441102973","Next week during half term if you would like to bring your child we are offering a free small chips & sausage or small chips &  nuggets to those who usually receive free school dinners (with complete discretion ) 
29th Thursday tea time 4.30-5.30
30th Friday lunch 11.30-12.15
31st Saturday tea time 4.30-5.30","","","","","","","","","","","","","","","","","","",""
"Bele Bakery & Cafe","New Mills","Derbyshire","SK22 4AA","No","Message on Facebook / email beleschoolmeals@gmail.com","https://www.facebook.com/belebakery/posts/749192275812372","Free meal everyday","","","","","","","","","","","","","","","","","","",""
"Bubble inn gastro pub","Stenson","Derbyshire","DE73 7HL","No","Email enquiries@thebubbleinn.com","https://www.facebook.com/stensonbubble/posts/1560612810813558","Free hot dinners","","","","","","","","","","","","","","","","","","",""
"Kostas Fish Bar","Matlock","Derbyshire","DE4 3NS","No","Visit restaurant","https://www.facebook.com/kostasfishbar/posts/3753535304680612","11-4:00pm Monday to Friday. Your child can have sausage and chips or Fishcake and chips","","","","","","","","","","","","","","","","","","",""
"Belluno","Bideford","Devon","EX39 2DY","No","Email bellunorestaurant@hotmail.com","https://www.facebook.com/bellunoitalianrestaurant/posts/2823607917964160","complimentary Monday-Friday lunchtime takeaway children's pasta of either Spaghetti/Penne Bolognaise OR Spaghetti/Penne Pomodoro (tomato pasta), with a pudding of Homemade Chocolate Mousse","","","","","","","","","","","","","","","","","","",""
"The Gingerbread Cafe","Budleigh Salterton","Devon","EX9 6LQ","No","Visit restaurant","https://www.bbc.co.uk/news/uk-england-devon-54650731","Free lunches","","","","","","","","","","","","","","","","","","",""
"The Globe Inn Sampford","Tiverton","Devon","EX16 7BJ","No","Message on Facebook or email info@the-globeinn.co.uk","https://www.facebook.com/theglobeinnsampfordpeverell/posts/409268533809407","Parcels will be made up of bread, milk, cheese, sandwich meats, yogurt & fresh fruit, enough food for a week of lunches. ","","","","","","","","","","","","","","","","","","",""
"The Hutong Cafe","Plymouth","Devon","PL1 3RB","No","Message on facebook","https://www.facebook.com/TheHutongCafe/posts/1696265503878364","We will be open on Saturday 24th, Sunday 25th, October 31st and November 1st to support those who need it.
Please DM us if you would like us to prepare a care package of food and beverages for you or someone you feel might need it.  We will be discreet.","","","","","","","","","","","","","","","","","","",""
"Burton Albion FC","Burton-Upon-Trent","East Staffordshire","DE13 0AR","No","Collect from club shop","https://www.burtonalbionfc.co.uk/news/2020/october/2310-freepackedlunches/","packed lunches will be available to collect from the Pirelli Stadium Club Shop throughout half term (26-30 October) 11am-1pm","","","","","","","","","","","","","","","","","","",""
"The Art House","Eastbourne","East Sussex","BN21 4TR","No","Message on Facebook or call 01323 728691","https://www.facebook.com/TheArtHouseEastbourne/posts/1352839708402118","Free packed lunches","","","","","","","","","","","","","","","","","","",""
"No Bones/The Prince Albert","Hastings","East Sussex","TN34 1SS","No","Visit restaurant","https://www.facebook.com/noboneshastings/posts/2604094746564580","Free burgers","","","","","","","","","","","","","","","","","","",""
"Seaford Town FC","Seaford","East Sussex","BN25 1AE","No","Visit clubhouse","https://twitter.com/seafordtownfc/status/1319626240542859264?s=20","free lunches to children on free school meals over half term. Our clubhouse kitchen will be open mon-fri from 12-2. ","","","","","","","","","","","","","","","","","","",""
"Hastings United FC","Hastings","East Sussex","TN34 2AX","No","Visit club","https://twitter.com/hastingsufc/status/1319655529141227520?s=20","NEXT FRIDAY! We will be giving out free school lunches between 12-2pm
TGS Pilot Field, Elphinstone Road, Hastings, TN34 2AX","","","","","","","","","","","","","","","","","","",""
"Riddle and Finns","Brighton","East Sussex","BN1 2FN","No","Message on Facebook","https://www.facebook.com/riddleandfinns1/posts/1482814608580966","Lunches that you can warm up","","","","","","","","","","","","","","","","","","",""
"Pearsons Bar","Hull","East Yorkshire","HU5 3QA","No","Message on Facebook","https://www.facebook.com/inglenookinns.co.uk/posts/1713320315490039","We will prepare as many packed lunches as we can which can be collected during half term from Mon 26th to Fri 30th.","","","","","","","","","","","","","","","","","","",""
"Kingfisher fish and chips","Kingston-Upon-Hull","East Yorkshire","HU3 6LD","No","Message on Facebook","https://www.facebook.com/kingfisherhull/posts/10158191796146339","Childs hot meal","","","","","","","","","","","","","","","","","","",""
"The Gilt Rooms","West Mersea","Essex","CO5 8QT","No","Visit restaurant","https://www.facebook.com/thegiltrooms/posts/1858048301000214","Tuesday to Saturday 12-2.30pm free hot meal for any child ","","","","","","","","","","","","","","","","","","",""
"The New London Restaurant Lounge","Chelmsford","Essex","CM2 0AA","No","Call 07713654475.","https://www.facebook.com/newlondonrl/posts/1466058640255523"," We will offer a collection service for a hot children’s meal to take away Tuesday to Friday next week.","","","","","","","","","","","","","","","","","","",""
"Essex County Council","Essex","Essex","CM1 1QH","No","Contact council","https://twitter.com/Essex_CC/status/1319667893773213696","","","","","","","","","","","","","","","","","","","",""
"Willow Tree Nursery","Clacton-on-sea","Essex","CO15 4US","No","Visit nursery","https://www.facebook.com/willowtreenurseryclacton/posts/4563741273668439","A healthy packed lunch and a drink will be available between 10:30am and 12pm from Monday 26th October until Friday 30th October,  in the car park at Willow Tree Nursery, Chingford Ave, C015 4US.","","","","","","","","","","","","","","","","","","",""
"Forest Green Rovers","Nailsworth","Gloucestershire","GL6 0FG","No","email us at community@fgr.co.uk","https://twitter.com/FGRFC_Official/status/1319698838953799681?s=20","𝗳𝗿𝗲𝗲 meals during half-term.","","","","","","","","","","","","","","","","","","",""
"Hammersmith and Fulham Council","Hammersmith and Fulham","Greater London","W6 9XY","Yes","Schools contacted","https://www.lbhf.gov.uk/articles/news/2020/10/hammersmith-fulham-steps-offer-free-school-meals-over-half-term","Hammersmith & Fulham Council will give every pupil in need free meal vouchers for next week’s half term break.","","","","","","","","","","","","","","","","","","",""
"Redbridge Council","Redbridge","Greater London","IG1 1NY","Yes","Contact council","https://twitter.com/khayerc/status/1319403360957718529?s=20","","","","","","","","","","","","","","","","","","","",""
"Southwark Council","Southwark","Greater London","SE1 2QH","Yes","Schools contacted","https://twitter.com/kieronjwilliams/status/1319353944594939905?s=20","","","","","","","","","","","","","","","","","","","",""
"Brent Council","Brent","Greater London","HA9 0FJ","No","Contact council","https://www.brent.gov.uk/council-news/october-2020/free-school-meals-for-eligible-children-during-half-term/","Parents of children eligible for Free School Meals will be able to collect a £15 food voucher from Brent Council to help children get a meal every day next week.","","","","","","","","","","","","","","","","","","",""
"Enfield Council","Enfield","Greater London","EN1 3XA","No","Contact council","https://twitter.com/EnfieldCouncil/status/1319659706751868928?s=20","","","","","","","","","","","","","","","","","","","",""
"Perform","Islington","Greater London","N7 9NY","No","Visit us at Perform & claim from Cottons LDN van","https://twitter.com/PerformUK/status/1319634085204164609","100 hot meals available per day between 12 and 2 Monday to Friday for children. Cottons LDN van will be parked at 62 Brewery Road, N7 9NY & Perform will cover the cost. ","","","","","","","","","","","","","","","","","","",""
"Camden Council","Camden","Greater London","N1C 4AG","No","Call the Council on 020 7974 4444 (option 9)","https://news.camden.gov.uk/camden-council-steps-in-to-ensure-no-child-goes-hungry-this-half-term/","Vouchers for supermarkets will be made available to all Camden families with children up to the age of 18 and in receipt of benefits for the October half-term break (26 to 30 October). ","","","","","","","","","","","","","","","","","","",""
"Beyroots Lebanese Street Food / Broadway Market","Tooting","Greater London","SW17 0RJ","No","Visit restaurant","https://www.facebook.com/Beyroots.Eat/posts/1264732223906331","amazing lunch from 12-2.30pm on us for 2 weeks starting Monday 26th. (We are open Wednesday to Saturday for Lunch)","","","","","","","","","","","","","","","","","","",""
"Bowes Cafe","Bounds Green","Greater London","N22 8NE","No","Visit restaurant","https://twitter.com/MarcusRashford/status/1319693301658931201?s=20","Kids eat free all day everyday","","","","","","","","","","","","","","","","","","",""
"Khandoker Didsbury","Didsbury","Greater Manchester","M20 5WY","No","Message on Facebook","https://www.facebook.com/khandokerdidsbury/posts/10158628680342726","Free hot meal","","","","","","","","","","","","","","","","","","",""
"Thyme Out Food Co","Didsbury","Greater Manchester","M20 2LG","No","Visit restaurant","https://www.facebook.com/ThymeOutFoodCo/posts/2769477556643445","Free packed lunches","","","","","","","","","","","","","","","","","","",""
"Greater Manchester / Co-Op","Greater Manchester","Greater Manchester","","","","https://twitter.com/MayorofGM/status/1319580689013133312","1,000 food vouchers across the city-region to young people who may need access to a meal during half-term The voucher provides free access to a meal deal offer in local Co-op stores","","","","","","","","","","","","","","","","","","",""
"4 Ways Cafe & Sandwich Bar","Leigh","Greater Manchester","WN7 5JE","No","Visit restaurant or call 01942 260892","https://www.facebook.com/4-Ways-Cafe-Sandwich-Bar-401374173548146","Packed lunch","","","","","","","","","","","","","","","","","","",""
"Oldham Council","Oldham","Greater Manchester","OL1 1UT","","Contact council","https://twitter.com/OldhamCouncil/status/1319580331922608128","provide free school meals during school holidays","","","","","","","","","","","","","","","","","","",""
"Minikin paint a pot art cafe","Sale","Greater Manchester","M33 7HF","No","","https://twitter.com/minikinartcafe/status/1319400886230241280?s=20","free hot baked potato with beans, fruit, snack & drink","","","","","","","","","","","","","","","","","","",""
"Ate Days A Week","Stockport","Greater Manchester","SK1 1TY","No","Visit restaurant","https://twitter.com/AteDaysAWeekSK1/status/1319381628926496796?s=20","2 free children's meal with an adult meal","","","","","","","","","","","","","","","","","","",""
"Union Arms","Tyldesley","Greater Manchester","M29 8EW","No","Message on Facebook","https://www.facebook.com/UnionArmsTyldesley","Free packed lunches","","","","","","","","","","","","","","","","","","",""
"Astoria Bar and Restaurant","Urmston","Greater Manchester","M41 5AW","No","Message on Facebook","https://www.facebook.com/Astoriabarandrestaurant/posts/1315730018792847","all children a free meal from our kids menu across half term 26/10/20-30/10/20","","","","","","","","","","","","","","","","","","",""
"The Hawthorne","Warrington","Greater Manchester","WA2 7AF","No","Visit restaurant","https://www.facebook.com/HawthorneWarrington/posts/982613118881322","Lunch packs - barm, piece of fruit and a drink.","","","","","","","","","","","","","","","","","","",""
"The Courtyard","Wigan","Greater Manchester","WN1 1LR","No","Visit restaurant","https://twitter.com/courtyardwigan/status/1319283880961060864","free kids meal","","","","","","","","","","","","","","","","","","",""
"Jo's Place","Wilmslow","Greater Manchester","SK9 1BU","No","Visit restaurant","https://www.facebook.com/Josplacewilmslowtrainstation/posts/206975230787705","free breakfast or lunch sandwich. We are open Monday to Friday 8am till 14.00.","","","","","","","","","","","","","","","","","","",""
"Bolton Wanderers FC / Bolton Whites Hotel","Bolton","Greater Manchester","BL6 6SF","No","Call 01204 673610","https://twitter.com/OfficialBWFC/status/1319685666498924544?s=20","will provide meals to any children who are entitled to free school meals in Bolton during half term. ","","","","","","","","","","","","","","","","","","",""
"Grandpa Greene's Luxury Ice Cream","Oldham","Greater Manchester","OL3 5JT","No","call 077 9009 2581 or message on Facebook","https://www.facebook.com/permalink.php?story_fbid=3482736601788817&id=149560741773103","Free lunch bags","","","","","","","","","","","","","","","","","","",""
"The Mill Cafe - Bowers Mill","Barkisland","Halifax","HX4 0AD","No","Visit restaurant","https://www.facebook.com/Bowersmillcafe2016/posts/3677366155615723","a free meal to 5-16 year olds in need.
Sausage, Chips & Beans and squash
Fishfinger, Chips & Beans & squash
Jacket Potato with topping ( Cheese, Beans etc)
Available  11am - 2pm Mon - Fri  Next week","","","","","","","","","","","","","","","","","","",""
"Jacobs Well","Gosport","Hampshire","PO12 4UZ","No","Visit shop","https://www.facebook.com/jacobswellcarecentre/posts/2851439421809506","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"The Bucks Head","Hitchin","Hertfordshire","SG4 7HY","No","Message on Facebook","https://www.facebook.com/thebucksheadpublittlewymondley/posts/186672766286334","Free packed lunch","","","","","","","","","","","","","","","","","","",""
"Vutie Beets","Letchworth Garden City","Hertfordshire","SG6 3EN","No","Message on Twitter","https://twitter.com/vutiebeets/status/1319568829203308544","Free meal","","","","","","","","","","","","","","","","","","",""
"El Bar De Tapas","Stevenage","Hertfordshire","SG1 3AN","No","Message on Facebook","https://www.facebook.com/Elbartapasstevenage/posts/3600585183325033","cooked meal, drink, fruit and of course some churros!","","","","","","","","","","","","","","","","","","",""
"Warren's Fruit & Veg","Watford","Hertfordshire","","No","07904103645","https://www.facebook.com/Warrens-Fruit-Veg-102130744871737/","text Warren between 10am - 12pm on Friday 23 October and we will sort you out with free fruit & vegetables to feed your children","","","","","","","","","","","","","","","","","","",""
"Chatham Town FC","Chatham","Kent","ME4 6LR","No","Email partners@chathamtownfc.com","https://twitter.com/ChathamTownFC/status/1319631422190161920?s=20","Free meal collection or delivery","","","","","","","","","","","","","","","","","","",""
"Gillingham Street Angels","Gillingham","Kent","ME7 1LG","No","Visit restaurant","https://www.facebook.com/TheStreetAngels/posts/1519216591606076","Free fruit and veg","","","","","","","","","","","","","","","","","","",""
"Ava Rose Hamilton","Colne","Lancashire","BB8 9NG","No","Visit shop/message on Facebook","https://www.facebook.com/avarosehamilton/posts/3713655372011800","Packed lunches","","","","","","","","","","","","","","","","","","",""
"Preston North End FC","Preston","Lancashire","PR1 6RU","No","Visit community offices or email community@pne.com","https://www.pnefc.net/pnecet/news3/2020/october/pnecet-offering-food-provision-service-to-support-vulnerable-children-through-half-term/","Families in need will be able to collect meals from the community offices at Deepdale between 11.30am and 2pm from Monday 26th October until Friday 30th October.","","","","","","","","","","","","","","","","","","",""
"Box Kitchen","Preston","Lancashire","PR1 2NJ","No","Visit restaurant","https://www.facebook.com/boxkitchenpreston/posts/187539079508440","Next week, we will provide school aged children with a free lunch time meal of chicken, fries and a sauce 🍟🍗. 
(One meal per child per lunch time)","","","","","","","","","","","","","","","","","","",""
"The Carlton and Banksy's Coffee Bar","Lytham St Annes","Lancashire","FY8 1LZ","No","Visit restaurant","https://www.facebook.com/TheCarltonAndBanksys/posts/3288504054581562","The carlton would like to offer FREE packed lunches starting from tuesday. Each lunch will contain a sandwich drink and a treat.","","","","","","","","","","","","","","","","","","",""
"Mumtaz","Leeds","Leeds","LS10 1PJ","No","Visit restaurant","https://www.facebook.com/mumtazleedsofficial/posts/1674720652706312","Any child aged between 4 to 16 years can come between 5pm to 6pm from Saturday 24th October 2020 to Sunday 1st November 2020 (8 days in total) to collect a free chicken or vegetarian biryani. We are closed Mondays.","","","","","","","","","","","","","","","","","","",""
"Kirklees Council","Kirklees","Leeds","HD1 9WJ","No","Call 08004561114","https://kirkleestogether.co.uk/2020/10/23/free-school-meals-for-kirklees-children-during-holidays/","","","","","","","","","","","","","","","","","","","",""
"Little Bao Boy","Leeds","Leeds","LS1 4AG","No","Visit restaurant","https://twitter.com/LittleBaoBoy/status/1319587136119705600?s=20","Free bao and fries for up to 16yo","","","","","","","","","","","","","","","","","","",""
